,Hour_End,Time,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
4227,6/25/2016 5:00,2016-06-25 05:00:00,10824.5703,1270.6352539999998,2023.542251,769.1894399,11890.96272,3197.026629,5893.165672,1028.222248,36897.314510000004
4228,6/25/2016 6:00,2016-06-25 06:00:00,10808.10217,1286.080736,2021.2680480000001,773.5392013999999,11921.59135,3197.885649,5888.547105,1026.52276,36923.537019999996
4229,6/25/2016 7:00,2016-06-25 07:00:00,10777.79204,1286.206207,2020.0281690000002,777.4506352000001,11985.80847,3211.037566,5979.533346,1030.160832,37068.01727
4230,6/25/2016 8:00,2016-06-25 08:00:00,11219.87195,1329.991659,2028.027664,799.1408575,12524.753509999999,3218.356538,6135.384077000001,1050.348336,38305.8746
4231,6/25/2016 9:00,2016-06-25 09:00:00,12368.85564,1469.557972,2092.050178,866.8268475,13733.123019999999,3400.416804,6557.811063,1111.244701,41599.886230000004
4232,6/25/2016 10:00,2016-06-25 10:00:00,13667.682530000002,1616.4537619999999,2191.298927,946.3761982999999,15170.757630000002,3690.829886,7037.980797,1174.0349310000001,45495.41466
4233,6/25/2016 11:00,2016-06-25 11:00:00,14819.950519999999,1739.2789649999997,2280.265599,1013.257781,16563.80208,3913.583233,7465.768676000001,1252.465569,49048.37242
4234,6/25/2016 12:00,2016-06-25 12:00:00,15550.359919999999,1860.5745170000002,2363.963037,1073.634433,17776.40697,4076.9037799999996,7879.997584999999,1315.424915,51897.26516
4235,6/25/2016 13:00,2016-06-25 13:00:00,15997.59565,1953.0340829999998,2437.2095600000002,1127.241197,18674.48008,4213.5187240000005,7989.599735,1364.551324,53757.23035
4236,6/25/2016 14:00,2016-06-25 14:00:00,16010.29831,2013.211631,2500.128901,1167.727116,19257.44604,4391.355977,7980.480843,1413.009823,54733.658639999994
4237,6/25/2016 15:00,2016-06-25 15:00:00,16275.926619999998,2055.9831879999997,2547.548604,1197.226772,19695.98294,4437.026911999999,8123.230165000001,1443.233521,55776.15872000001
4238,6/25/2016 16:00,2016-06-25 16:00:00,16833.73383,2078.802363,2586.66303,1220.307435,19883.59927,4425.766438000001,8145.223715000001,1467.8503050000002,56641.946379999994
4239,6/25/2016 17:00,2016-06-25 17:00:00,16971.793869999998,2089.443626,2596.706918,1229.681308,19714.023409999998,4450.58736,7979.3028269999995,1470.878311,56502.417629999996
4240,6/25/2016 18:00,2016-06-25 18:00:00,16585.197659999998,2042.3871100000001,2588.961124,1221.025673,19253.40143,4442.127512,7771.482447,1449.975676,55354.55862999999
4241,6/25/2016 19:00,2016-06-25 19:00:00,16120.450509999999,1993.9594399999999,2558.400315,1192.0485199999998,18621.23796,4365.2016380000005,7537.179738,1400.297658,53788.775779999996
4242,6/25/2016 20:00,2016-06-25 20:00:00,15508.85476,1875.8570559999998,2525.608478,1146.542365,17924.728769999998,4246.526043,7382.999845,1356.225402,51967.342710000004
4243,6/25/2016 21:00,2016-06-25 21:00:00,15151.001769999999,1811.660277,2464.099761,1105.419451,17376.39239,4174.631976,7366.870589,1307.69101,50757.76722
4244,6/25/2016 22:00,2016-06-25 22:00:00,14710.1181,1806.495623,2425.8542390000002,1083.091536,16963.992280000002,4117.5316,7314.858289,1298.295247,49720.236919999996
4245,6/25/2016 23:00,2016-06-25 23:00:00,13981.53146,1709.493724,2363.97622,1033.7554189999998,15988.558640000001,3928.150525,6992.253395000001,1209.425492,47207.14487
4246,6/26/2016 0:00,2016-06-26 00:00:00,13166.9255,1596.62761,2280.012,959.18579,14852.3982,3714.2592,6558.56305,1078.4465400000001,44206.41789
4247,6/26/2016 1:00,2016-06-26 01:00:00,12373.05024,1481.4891539999999,2190.013244,892.5720721000001,13792.07674,3495.5623530000003,6179.391543,996.3601379,41400.51548
4248,6/26/2016 2:00,2016-06-26 02:00:00,11799.26592,1409.3637390000001,2124.3211739999997,849.8363577,12971.72328,3304.5833030000003,5891.086424,953.8077512,39303.98795
4249,6/26/2016 3:00,2016-06-26 03:00:00,11329.34923,1338.527473,2085.188168,821.3859467999999,12352.77158,3158.823844,5699.044419,940.5713585000001,37725.662019999996
4250,6/26/2016 4:00,2016-06-26 04:00:00,10992.24472,1313.6572099999998,2045.807634,805.9471637,11883.641679999999,3057.474872,5536.857736,928.9214597000001,36564.55247
4251,6/26/2016 5:00,2016-06-26 05:00:00,10813.96602,1271.763549,2023.3899789999998,782.7559562000001,11580.56179,2994.8389,5420.957921,922.2052462000001,35810.439360000004
4252,6/26/2016 6:00,2016-06-26 06:00:00,10748.20842,1249.7420730000001,2024.0437559999998,778.8369052,11501.55235,2983.345123,5412.773595000001,934.9461223999999,35633.44835
4253,6/26/2016 7:00,2016-06-26 07:00:00,10616.54667,1244.2884609999999,2023.2002920000002,775.4244492,11401.4182,2961.004247,5466.419199,937.7171673,35426.01868
4254,6/26/2016 8:00,2016-06-26 08:00:00,10953.8644,1272.2757900000001,2016.5479890000001,812.1068197000001,11858.82348,2966.025355,5568.495835,958.8862396,36407.0259
4255,6/26/2016 9:00,2016-06-26 09:00:00,11997.19897,1438.892096,2051.503082,877.8877401000001,13146.23971,3207.1884010000003,6002.889067,1013.923215,39735.72229
4256,6/26/2016 10:00,2016-06-26 10:00:00,13202.29977,1572.6631320000001,2096.5649399999998,945.2680958999999,14557.595519999999,3547.6157350000003,6651.977734,1073.7436300000002,43647.72856
4257,6/26/2016 11:00,2016-06-26 11:00:00,14323.537230000002,1689.3448309999999,2148.157603,1008.570435,15945.36981,3881.735329,7316.734144,1130.828694,47444.27807
4258,6/26/2016 12:00,2016-06-26 12:00:00,15258.99526,1803.6806809999998,2186.701972,1066.888298,17258.94035,4194.23194,7938.7291829999995,1188.0736880000002,50896.241369999996
